Column,Count
Total_Loss,499998
Cred_Mig_RAL_MA,499990
Cred_Mig_RLL_MA,499989
Cred_Mig_Non_MA,499989
B,473787
CCC,473744
BB,467173
IR_SOV_CorpAA_GBP_01Y,463903
BBB_0_5Y,462644
IR_SOVEREIGN_GBP_01Y,462478
BBB_5_10Y,462106
IR_SOV_SWAS_GBP_01Y,461850
IR_SOV_CorpAA_GBP_05Y,461216
IR_SOV_CorpAA_GBP_10Y,459470
INFL_SOV_BOE_GBR_05Y,459000
IR_SOVEREIGN_GBP_05Y,458861
IR_SOV_SWAS_GBP_05Y,458804
IR_SOVEREIGN_GBP_10Y,458200
IR_SOV_SWAS_GBP_10Y,454749
INFL_SOV_GBR_10Y,454083
BBB_10_15Y,452904
IR_SOV_CorpAA_GBP_20Y,451999
IR_SOV_CorpAA_GBP_30Y,451874
BBB_15Yplus,450827
IR_SOVEREIGN_GBP_30Y,450431
IR_SOVEREIGN_GBP_20Y,450429
A_5_10Y,448930
IR_SOV_SWAS_GBP_20Y,448364
IR_SOV_SWAS_GBP_30Y,448177
A_0_5Y,444037
A_10_15Y,442504
INFL_SOV_GBR_20Y,436379
CML_CCC,436208
A_15Yplus,435308
INFL_SOV_GBR_30Y,429902
AA_5_10Y,427782
AA_10_15Y,418219
AA_0_5Y,414767
CML_BBB_0_5Y,412054
Transport_BBB_0_5Y,411532
CML_BBB_5_10Y,410382
CRDS_SWAS_GBP_01Y,410281
AA_15Yplus,410244
Transport_BBB_5_10Y,409885
CRDS_SWAS_GBP_20Y,399540
CRDS_SWAS_GBP_30Y,398434
Transport_BBB_10_15Y,390334
AAA_5_10Y,387895
Transport_BBB_15Yplus,386737
Utility_BBB_10_15Y,384765
CML_A_5_10Y,383364
Energy_BBB_15Yplus,382909
CRDS_SWAS_GBP_10Y,382560
CRDS_SWAS_GBP_05Y,382082
Utility_BBB_15Yplus,380925
AAA_10_15Y,378451
CML_A_0_5Y,373958
AAA_0_5Y,365221
CML_A_15Yplus,357317
SH_A_10_15Y,355390
Energy_A_15Yplus,352102
AAA_15Yplus,344257
SH_A_15Yplus,340860
SH_AA_15Yplus,295157
Op_Risk_Non_MA,102525
Op_Risk_ServCo,81264
Cred_Def_Non_MA,24037
Op_Risk_ARUK_Solo,23086
Cred_Def_RLL_MA,21649
Long_P_SS,14076
Lapse_Param_Guarantees_ex_RAL,13520
Eq_MSCI_RoTW,12756
Cred_Def_RAL_MA,12739
Lapse_Param_Savings_ex_RAL,12435
Lapse_P_Ark_Life,11293
FX_JPYGBP,10560
Eq_MSCI_GBR,10432
Eq_MSCI_US,10310
Lapse_Param_Protection_ex_RAL,10067
Prop,9889
UL_Eq,9087
FX_CHFGBP,8432
MortP_LethalEp,8158
Long_Prop_Married,7930
CI_P,7559
CI_P_BLA,7559
IP_Inc_P,7534
FX_EURGBP,7130
FX_USDGBP,7091
Ann_TakeUp_Rate,5813
IP_Rec_P,5426
Expense_P_RAUKSL,5424
Mort_P,4141
Long_P_IMP,4113
UL_Curr,2950
Expense_Ark_Life,2846
Lapse_Shock,2016
IP_Inc_S,2011
Long_P_STD,1887
CI_Shock,1626
UL_xterm,1114
Long_T,521
UL_Int,394
UL_Prop,394
UL_Spreads,146
UL_Infl,12
